date,BC_A_J,BC_A_S,BC_B_J,BC_B_S,BC_C_J,BC_C_S,BC_D_J,BC_E_J,BC_E_S,CB_A_J,CB_A_S,CB_D_J,CB_E_J,CB_F_J,CR_A_J,CR_B_J,CR_C_J,CR_D_J,CR_D_S,CR_E_J,CR_E_S,RD_A_J,RD_A_S,RD_C_S,RD_D_J,RD_D_S,RD_E_J,RD_E_S,RD_F_J,TG_A_J,TG_A_S,TG_B_J,TG_B_S,TG_C_J,TG_C_S,TG_D_J,TG_D_S,TG_E_J,TG_E_S
2022-05-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,0.0,0.0,665.0,0.0,0.0,0.0,638.0,0.0,8555.0,9807.0,5692.0,11553.0,8488.0,6420.0,5056.0,0.0,8736.0
2022-05-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2801.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,0.0,0.0,662.0,0.0,619.0,0.0,659.0,0.0,8559.0,10714.0,5701.0,10804.0,9000.0,10000.0,9294.0,0.0,5472.0
2022-05-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,2744.0,0.0,0.0,0.0,0.0,0.0,0.0,642.0,0.0,0.0,667.0,0.0,782.0,0.0,643.0,7177.0,7632.0,4222.0,8451.0,11305.0,9202.0,0.0,10413.0,9157.0,7088.0
2022-06-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,0.0,0.0,620.0,0.0,780.0,0.0,624.0,0.0,9566.0,10867.0,5995.0,11595.0,9343.0,10000.0,8569.0,0.0,5795.0
2022-06-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,2763.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,594.0,0.0,633.0,0.0,825.0,0.0,596.0,8079.0,7671.0,10721.0,8040.0,11823.0,8997.0,5261.0,0.0,0.0,8031.0
2022-06-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2683.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,0.0,0.0,603.0,0.0,818.0,0.0,609.0,0.0,7951.0,10612.0,7896.0,12336.0,8622.0,5200.0,12087.0,0.0,7233.0
2022-06-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,0.0,8190.0,0.0,6370.0,9995.0,8149.0,5898.0,8946.0,0.0,8851.0
2022-06-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,880.0,0.0,664.0,825.0,800.0,0.0,695.0,0.0,9138.0,9140.0,7691.0,11844.0,8503.0,10000.0,9075.0,0.0,8680.0
2022-06-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2681.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,0.0,0.0,641.0,801.0,828.0,0.0,632.0,10664.0,7969.0,8754.0,8454.0,8973.0,8539.0,4000.0,8594.0,0.0,7734.0
2022-06-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2673.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,0.0,0.0,547.0,821.0,825.0,0.0,595.0,8102.0,9253.0,8758.0,8090.0,10121.0,7929.0,7100.0,0.0,0.0,9600.0
2022-06-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2767.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,0.0,0.0,562.0,865.0,925.0,0.0,554.0,0.0,8800.0,8038.0,7834.0,10930.0,7809.0,0.0,10331.0,0.0,7836.0
2022-06-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,2693.0,0.0,0.0,0.0,0.0,0.0,0.0,745.0,0.0,0.0,537.0,841.0,861.0,0.0,591.0,9444.0,8586.0,9524.0,7160.0,10333.0,7415.0,0.0,8703.0,0.0,7926.0
2022-06-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,871.0,874.0,0.0,745.0,9810.0,8450.0,9740.0,5848.0,9623.0,5570.0,5464.0,7955.0,0.0,6254.0
2022-06-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.0,0.0,0.0,665.0,947.0,865.0,0.0,776.0,9354.0,8205.0,7636.0,7078.0,7997.0,7285.0,0.0,7220.0,0.0,7958.0
2022-06-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,2681.0,0.0,0.0,0.0,0.0,0.0,0.0,1555.0,0.0,0.0,576.0,950.0,989.0,0.0,722.0,8920.0,7886.0,9895.0,5500.0,6138.0,6986.0,0.0,7333.0,0.0,8318.0
2022-06-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2712.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,0.0,0.0,0.0,742.0,993.0,0.0,834.0,9341.0,7028.0,9907.0,7883.0,8509.0,7261.0,0.0,7485.0,0.0,7649.0
2022-06-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2692.0,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,0.0,0.0,0.0,1017.0,1005.0,0.0,858.0,0.0,7465.0,9918.0,7528.0,7090.0,7184.0,3355.0,7919.0,0.0,6917.0
2022-06-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2672.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,0.0,0.0,661.0,750.0,928.0,0.0,771.0,9497.0,7064.0,7582.0,7440.0,9401.0,7250.0,3794.0,7289.0,5858.0,7155.0
2022-06-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,806.0,0.0,6840.0,9464.0,7080.0,7797.0,7174.0,5642.0,5586.0,0.0,5819.0
2022-06-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,2672.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,0.0,0.0,484.0,0.0,1021.0,0.0,654.0,8493.0,7341.0,8522.0,7230.0,5881.0,6618.0,0.0,7738.0,0.0,5644.0
2022-06-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2671.0,0.0,0.0,0.0,0.0,0.0,0.0,1698.0,0.0,0.0,0.0,0.0,894.0,0.0,1000.0,9440.0,7269.0,9491.0,6169.0,7352.0,6657.0,6000.0,5707.0,8733.0,8519.0
2022-06-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2693.0,0.0,0.0,0.0,0.0,0.0,0.0,1706.0,0.0,0.0,0.0,0.0,1032.0,0.0,1025.0,9309.0,6695.0,8722.0,6115.0,6752.0,6281.0,7569.0,5417.0,8046.0,6446.0
2022-06-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2666.0,0.0,0.0,0.0,0.0,0.0,0.0,1695.0,0.0,0.0,0.0,0.0,925.0,0.0,726.0,6622.0,6064.0,8648.0,5783.0,8509.0,6287.0,7295.0,5971.0,8706.0,7667.0
2022-06-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2659.0,0.0,0.0,0.0,0.0,0.0,0.0,1692.0,0.0,0.0,0.0,0.0,1030.0,0.0,851.0,9346.0,6004.0,8318.0,5057.0,7027.0,5775.0,5020.0,5800.0,6824.0,7904.0
2022-06-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,0.0,818.0,4672.0,6775.0,7433.0,4185.0,7136.0,5290.0,7064.0,5440.0,7503.0,4825.0
2022-06-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2673.0,0.0,0.0,0.0,0.0,0.0,0.0,1695.0,0.0,0.0,0.0,0.0,1014.0,0.0,956.0,9183.0,5766.0,8760.0,4748.0,6483.0,5391.0,4346.0,6031.0,7146.0,5966.0
2022-06-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2666.0,0.0,0.0,0.0,0.0,0.0,0.0,1682.0,0.0,0.0,0.0,0.0,1043.0,0.0,873.0,7792.0,5862.0,8717.0,5138.0,6637.0,5213.0,7050.0,5992.0,7229.0,6380.0
2022-06-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2706.0,0.0,0.0,0.0,0.0,0.0,0.0,1697.0,0.0,0.0,0.0,0.0,975.0,0.0,835.0,5475.0,6152.0,7493.0,5071.0,4168.0,4815.0,4455.0,6018.0,5475.0,5359.0
2022-06-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,2674.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.0,0.0,0.0,0.0,0.0,879.0,0.0,655.0,9302.0,5394.0,7306.0,5179.0,0.0,5837.0,4667.0,4456.0,4600.0,5720.0
2022-07-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2667.0,0.0,0.0,0.0,0.0,0.0,0.0,1696.0,0.0,0.0,0.0,0.0,1000.0,0.0,711.0,9225.0,6309.0,8132.0,3831.0,6419.0,5435.0,3799.0,6011.0,5923.0,5128.0
2022-07-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,761.0,0.0,5664.0,5935.0,4937.0,8585.0,5651.0,3997.0,5108.0,5328.0,5570.0
2022-07-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
